"package","version","licenseDeclared","projectUrl","source"
"Microsoft.Extensions.Hosting.WindowsServices","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.DependencyInjection","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.DependencyInjection.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Diagnostics","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Diagnostics.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.FileProviders.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.FileProviders.Physical","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.FileSystemGlobbing","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Hosting.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Configuration","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Console","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Debug","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.EventLog","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.EventSource","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Options","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Options.ConfigurationExtensions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Primitives","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"System.Diagnostics.EventLog","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.UserSecrets","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.Json","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.FileExtensions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.EnvironmentVariables","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.IdentityModel.JsonWebTokens","8.22.0","MIT","https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet","NuGet package nuspec"
"Microsoft.IdentityModel.Tokens","8.22.0","MIT","https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet","NuGet package nuspec"
"BouncyCastle.Cryptography","2.7.0","MIT","https://www.bouncycastle.org/stable/nuget/csharp/website","NuGet package nuspec"
"Microsoft.Bcl.Cryptography","10.0.2","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.IdentityModel.Abstractions","8.22.0","MIT","https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet","NuGet package nuspec"
"Microsoft.IdentityModel.Logging","8.22.0","MIT","https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet","NuGet package nuspec"
"Npgsql","10.0.3","PostgreSQL","https://github.com/npgsql/npgsql","NuGet package nuspec"
"System.ServiceProcess.ServiceController","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.Abstractions","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"System.ServiceProcess.ServiceController","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.Binder","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Abstractions","8.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Primitives","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Hosting","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Hosting.WindowsServices","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.Abstractions","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.Binder","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Configuration.CommandLine","10.0.11","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.DependencyInjection.Abstractions","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
"Microsoft.Extensions.Logging.Abstractions","10.0.0","MIT","https://dot.net/","NuGet package nuspec"
